LR, Hidden_Dim, Epochs, Reg, Batch_Size, Activation, Val_Accuracy
--------------------------------------------------------------------------------
0.1, 256, 20, 0.0001, 100, Leaky ReLU, 0.5, 0.8792
0.1, 256, 20, 0.001, 100, ReLU, None, 0.8868
0.1, 256, 20, 0.001, 100, Leaky ReLU, 0.5, 0.8812
0.1, 256, 20, 0.001, 100, Leaky ReLU, None, 0.8868
0.1, 256, 20, 0.0001, 100, Leaky ReLU, None, 0.8874
0.1, 256, 20, 0.0001, 100, ReLU, None, 0.8903
0.1, 256, 20, 0.0001, 100, ReLU, 0.8, 0.8835
0.1, 256, 20, 0.0001, 200, Leaky ReLU, None, 0.8846
0.1, 256, 20, 0.001, 100, ReLU, 0.8, 0.8820
0.1, 128, 20, 0.0001, 100, ReLU, None, 0.8857
0.1, 128, 20, 0.001, 100, ReLU, None, 0.8826
0.1, 128, 20, 0.001, 100, Leaky ReLU, None, 0.8835
0.1, 256, 20, 0.0001, 100, Leaky ReLU, 0.8, 0.8828
0.1, 128, 20, 0.001, 100, Leaky ReLU, 0.8, 0.8770
0.1, 256, 20, 0.0001, 100, ReLU, 0.5, 0.8812
0.1, 256, 20, 0.0001, 200, ReLU, None, 0.8836
0.1, 128, 20, 0.0001, 100, Leaky ReLU, None, 0.8808
0.1, 256, 20, 0.0001, 200, Leaky ReLU, 0.8, 0.8850
0.1, 256, 20, 0.001, 200, Leaky ReLU, None, 0.8842
0.05, 256, 20, 0.0001, 100, Leaky ReLU, None, 0.8854
0.1, 128, 20, 0.001, 100, Leaky ReLU, 0.5, 0.8767
0.05, 128, 20, 0.001, 100, ReLU, None, 0.8826
0.1, 256, 20, 0.0001, 100, Leaky ReLU, 0.8, 0.8837
0.05, 256, 20, 0.0001, 100, ReLU, None, 0.8842
0.1, 256, 20, 0.0001, 200, ReLU, 0.8, 0.8832
0.1, 256, 20, 0.001, 200, Leaky ReLU, 0.8, 0.8831
0.1, 128, 20, 0.001, 200, Leaky ReLU, None, 0.8821
0.1, 128, 20, 0.0001, 200, ReLU, None, 0.8796
0.1, 256, 20, 0.001, 200, ReLU, None, 0.8846
0.05, 256, 20, 0.001, 100, Leaky ReLU, None, 0.8860
0.05, 128, 20, 0.0001, 100, Leaky ReLU, None, 0.8821
0.1, 256, 20, 0.0001, 200, Leaky ReLU, 0.5, 0.8789
0.1, 128, 20, 0.001, 200, ReLU, None, 0.8823
0.1, 128, 20, 0.0001, 200, ReLU, 0.8, 0.8819
0.1, 256, 20, 0.001, 100, Leaky ReLU, 0.8, 0.8821
0.1, 256, 20, 0.0001, 100, ReLU, 0.8, 0.8830
0.05, 256, 20, 0.001, 100, Leaky ReLU, 0.8, 0.8854
0.05, 256, 20, 0.001, 100, ReLU, None, 0.8846
0.1, 128, 20, 0.001, 200, Leaky ReLU, 0.8, 0.8827
0.1, 128, 20, 0.0001, 100, Leaky ReLU, 0.8, 0.8804
0.1, 128, 20, 0.001, 100, ReLU, 0.5, 0.8775
0.1, 256, 20, 0.005, 100, ReLU, None, 0.8788
0.05, 128, 20, 0.0001, 100, ReLU, None, 0.8809
0.1, 256, 20, 0.001, 200, ReLU, 0.8, 0.8831
0.05, 128, 20, 0.001, 100, Leaky ReLU, None, 0.8807
0.1, 128, 20, 0.0001, 200, Leaky ReLU, None, 0.8804
0.1, 256, 20, 0.0001, 300, ReLU, 0.8, 0.8809
0.1, 256, 20, 0.0001, 100, ReLU, 0.5, 0.8812
0.1, 256, 20, 0.005, 100, Leaky ReLU, None, 0.8785
0.1, 128, 20, 0.001, 200, ReLU, 0.8, 0.8841
