LR,Hidden_Dim,Epochs,Reg,Batch_Size,Activation,Dropout_p,Val_Accuracy
0.01,128,20,0.0001,200,ReLU,0.8,0.8527
0.01,128,20,0.0001,200,ReLU,0.5,0.8486
0.01,128,20,0.0001,200,ReLU,1.0,0.8563
0.01,128,20,0.0001,200,Sigmoid,0.8,0.7784
0.01,128,20,0.0001,200,Sigmoid,0.5,0.7763
0.01,128,20,0.0001,200,Sigmoid,1.0,0.7737
0.01,128,20,0.0001,200,Leaky ReLU,0.8,0.8526
0.01,128,20,0.0001,200,Leaky ReLU,0.5,0.8486
0.01,128,20,0.0001,200,Leaky ReLU,1.0,0.8562
0.01,128,20,0.0001,300,ReLU,0.8,0.8410
0.01,128,20,0.0001,300,ReLU,0.5,0.8347
0.01,128,20,0.0001,300,ReLU,1.0,0.8459
0.01,128,20,0.0001,300,Sigmoid,0.8,0.7455
0.01,128,20,0.0001,300,Sigmoid,0.5,0.7454
0.01,128,20,0.0001,300,Sigmoid,1.0,0.7399
0.01,128,20,0.0001,300,Leaky ReLU,0.8,0.8406
0.01,128,20,0.0001,300,Leaky ReLU,0.5,0.8342
0.01,128,20,0.0001,300,Leaky ReLU,1.0,0.8457
0.01,128,20,0.001,100,ReLU,0.8,0.8675
0.01,128,20,0.001,100,ReLU,0.5,0.8652
0.01,128,20,0.001,100,ReLU,1.0,0.8679
0.01,128,20,0.001,100,Sigmoid,0.8,0.8229
0.01,128,20,0.001,100,Sigmoid,0.5,0.8203
0.01,128,20,0.001,100,Sigmoid,1.0,0.8236
0.01,128,20,0.001,100,Leaky ReLU,0.8,0.8672
0.01,128,20,0.001,100,Leaky ReLU,0.5,0.8658
0.01,128,20,0.001,100,Leaky ReLU,1.0,0.8678
0.01,128,20,0.001,200,ReLU,0.8,0.8525
0.01,128,20,0.001,200,ReLU,0.5,0.8482
0.01,128,20,0.001,200,ReLU,1.0,0.8558
0.01,128,20,0.001,200,Sigmoid,0.8,0.7780
0.01,128,20,0.001,200,Sigmoid,0.5,0.7759
0.01,128,20,0.001,200,Sigmoid,1.0,0.7723
0.01,128,20,0.001,200,Leaky ReLU,0.8,0.8521
0.01,128,20,0.001,200,Leaky ReLU,0.5,0.8483
0.01,128,20,0.001,200,Leaky ReLU,1.0,0.8561
0.01,128,20,0.001,300,ReLU,0.8,0.8403
0.01,128,20,0.001,300,ReLU,0.5,0.8342
0.01,128,20,0.001,300,ReLU,1.0,0.8457
0.01,128,20,0.001,300,Sigmoid,0.8,0.7452
0.01,128,20,0.001,300,Sigmoid,0.5,0.7453
0.01,128,20,0.001,300,Sigmoid,1.0,0.7396
