LR,Hidden_Dim,Epochs,Reg,Batch_Size,Activation,Dropout_p,Val_Accuracy
0.05,128,20,0.001,300,Sigmoid,0.8,0.8454
0.05,128,20,0.001,300,Sigmoid,0.5,0.8382
0.05,128,20,0.001,300,Sigmoid,1.0,0.8477
0.05,128,20,0.001,300,Leaky ReLU,0.8,0.8730
0.05,128,20,0.001,300,Leaky ReLU,0.5,0.8707
0.05,128,20,0.001,300,Leaky ReLU,1.0,0.8746
0.05,128,20,0.005,100,ReLU,0.8,0.8771
0.05,128,20,0.005,100,ReLU,0.5,0.8773
0.05,128,20,0.005,100,ReLU,1.0,0.8786
0.05,128,20,0.005,100,Sigmoid,0.8,0.8521
0.05,128,20,0.005,100,Sigmoid,0.5,0.8489
0.05,128,20,0.005,100,Sigmoid,1.0,0.8538
0.05,128,20,0.005,100,Leaky ReLU,0.8,0.8779
0.05,128,20,0.005,100,Leaky ReLU,0.5,0.8754
0.05,128,20,0.005,100,Leaky ReLU,1.0,0.8781
0.05,128,20,0.005,200,ReLU,0.8,0.8753
0.05,128,20,0.005,200,ReLU,0.5,0.8715
0.05,128,20,0.005,200,ReLU,1.0,0.8752
0.05,128,20,0.005,200,Sigmoid,0.8,0.8461
0.05,128,20,0.005,200,Sigmoid,0.5,0.8414
0.05,128,20,0.005,200,Sigmoid,1.0,0.8499
0.05,128,20,0.005,200,Leaky ReLU,0.8,0.8748
0.05,128,20,0.005,200,Leaky ReLU,0.5,0.8712
0.05,128,20,0.005,200,Leaky ReLU,1.0,0.8746
0.05,128,20,0.005,300,ReLU,0.8,0.8688
0.05,128,20,0.005,300,ReLU,0.5,0.8674
0.05,128,20,0.005,300,ReLU,1.0,0.8709
0.05,128,20,0.005,300,Sigmoid,0.8,0.8366
0.05,128,20,0.005,300,Sigmoid,0.5,0.8309
0.05,128,20,0.005,300,Sigmoid,1.0,0.8394
0.05,128,20,0.005,300,Leaky ReLU,0.8,0.8690
0.05,128,20,0.005,300,Leaky ReLU,0.5,0.8673
0.05,128,20,0.005,300,Leaky ReLU,1.0,0.8705
0.05,256,10,0.0001,100,ReLU,0.8,0.8811
0.05,256,10,0.0001,100,ReLU,0.5,0.8760
0.05,256,10,0.0001,100,ReLU,1.0,0.8791
0.05,256,10,0.0001,100,Sigmoid,0.8,0.8543
0.05,256,10,0.0001,100,Sigmoid,0.5,0.8530
0.05,256,10,0.0001,100,Sigmoid,1.0,0.8531
0.05,256,10,0.0001,100,Leaky ReLU,0.8,0.8796
0.05,256,10,0.0001,100,Leaky ReLU,0.5,0.8756
0.05,256,10,0.0001,100,Leaky ReLU,1.0,0.8792
0.05,256,10,0.0001,200,ReLU,0.8,0.8704
0.05,256,10,0.0001,200,ReLU,0.5,0.8687
0.05,256,10,0.0001,200,ReLU,1.0,0.8724
0.05,256,10,0.0001,200,Sigmoid,0.8,0.8379
0.05,256,10,0.0001,200,Sigmoid,0.5,0.8340
0.05,256,10,0.0001,200,Sigmoid,1.0,0.8372
0.05,256,10,0.0001,200,Leaky ReLU,0.8,0.8698
0.05,256,10,0.0001,200,Leaky ReLU,0.5,0.8673
0.05,256,10,0.0001,200,Leaky ReLU,1.0,0.8729
0.05,256,10,0.0001,300,ReLU,0.8,0.8627
0.05,256,10,0.0001,300,ReLU,0.5,0.8618
0.05,256,10,0.0001,300,ReLU,1.0,0.8627
0.05,256,10,0.0001,300,Sigmoid,0.8,0.8154
0.05,256,10,0.0001,300,Sigmoid,0.5,0.8122
0.05,256,10,0.0001,300,Sigmoid,1.0,0.8137
0.05,256,10,0.0001,300,Leaky ReLU,0.8,0.8629
0.05,256,10,0.0001,300,Leaky ReLU,0.5,0.8615
0.05,256,10,0.0001,300,Leaky ReLU,1.0,0.8631
0.05,256,10,0.001,100,ReLU,0.8,0.8780
0.05,256,10,0.001,100,ReLU,0.5,0.8749
0.05,256,10,0.001,100,ReLU,1.0,0.8788
0.05,256,10,0.001,100,Sigmoid,0.8,0.8535
0.05,256,10,0.001,100,Sigmoid,0.5,0.8512
0.05,256,10,0.001,100,Sigmoid,1.0,0.8513
0.05,256,10,0.001,100,Leaky ReLU,0.8,0.8789
0.05,256,10,0.001,100,Leaky ReLU,0.5,0.8748
0.05,256,10,0.001,100,Leaky ReLU,1.0,0.8789
0.05,256,10,0.001,200,ReLU,0.8,0.8696
0.05,256,10,0.001,200,ReLU,0.5,0.8673
0.05,256,10,0.001,200,ReLU,1.0,0.8721
0.05,256,10,0.001,200,Sigmoid,0.8,0.8366
0.05,256,10,0.001,200,Sigmoid,0.5,0.8335
0.05,256,10,0.001,200,Sigmoid,1.0,0.8354
0.05,256,10,0.001,200,Leaky ReLU,0.8,0.8694
0.05,256,10,0.001,200,Leaky ReLU,0.5,0.8673
0.05,256,10,0.001,200,Leaky ReLU,1.0,0.8728
0.05,256,10,0.001,300,ReLU,0.8,0.8623
0.05,256,10,0.001,300,ReLU,0.5,0.8610
0.05,256,10,0.001,300,ReLU,1.0,0.8625
0.05,256,10,0.001,300,Sigmoid,0.8,0.8145
0.05,256,10,0.001,300,Sigmoid,0.5,0.8112
0.05,256,10,0.001,300,Sigmoid,1.0,0.8130
0.05,256,10,0.001,300,Leaky ReLU,0.8,0.8623
0.05,256,10,0.001,300,Leaky ReLU,0.5,0.8607
0.05,256,10,0.001,300,Leaky ReLU,1.0,0.8621
0.05,256,10,0.005,100,ReLU,0.8,0.8724
0.05,256,10,0.005,100,ReLU,0.5,0.8700
0.05,256,10,0.005,100,ReLU,1.0,0.8743
0.05,256,10,0.005,100,Sigmoid,0.8,0.8450
0.05,256,10,0.005,100,Sigmoid,0.5,0.8447
0.05,256,10,0.005,100,Sigmoid,1.0,0.8429
0.05,256,10,0.005,100,Leaky ReLU,0.8,0.8713
0.05,256,10,0.005,100,Leaky ReLU,0.5,0.8692
0.05,256,10,0.005,100,Leaky ReLU,1.0,0.8734
0.05,256,10,0.005,200,ReLU,0.8,0.8664
0.05,256,10,0.005,200,ReLU,0.5,0.8651
0.05,256,10,0.005,200,ReLU,1.0,0.8685
0.05,256,10,0.005,200,Sigmoid,0.8,0.8296
0.05,256,10,0.005,200,Sigmoid,0.5,0.8262
0.05,256,10,0.005,200,Sigmoid,1.0,0.8287
0.05,256,10,0.005,200,Leaky ReLU,0.8,0.8660
0.05,256,10,0.005,200,Leaky ReLU,0.5,0.8644
0.05,256,10,0.005,200,Leaky ReLU,1.0,0.8675
0.05,256,10,0.005,300,ReLU,0.8,0.8608
0.05,256,10,0.005,300,ReLU,0.5,0.8579
0.05,256,10,0.005,300,ReLU,1.0,0.8592
0.05,256,10,0.005,300,Sigmoid,0.8,0.8111
0.05,256,10,0.005,300,Sigmoid,0.5,0.8068
0.05,256,10,0.005,300,Sigmoid,1.0,0.8076
0.05,256,10,0.005,300,Leaky ReLU,0.8,0.8604
0.05,256,10,0.005,300,Leaky ReLU,0.5,0.8574
0.05,256,10,0.005,300,Leaky ReLU,1.0,0.8584
0.05,256,20,0.0001,100,ReLU,0.8,0.8829
0.05,256,20,0.0001,100,ReLU,0.5,0.8774
0.05,256,20,0.0001,100,ReLU,1.0,0.8842
0.05,256,20,0.0001,100,Sigmoid,0.8,0.8668
0.05,256,20,0.0001,100,Sigmoid,0.5,0.8630
0.05,256,20,0.0001,100,Sigmoid,1.0,0.8684
0.05,256,20,0.0001,100,Leaky ReLU,0.8,0.8836
0.05,256,20,0.0001,100,Leaky ReLU,0.5,0.8779
0.05,256,20,0.0001,100,Leaky ReLU,1.0,0.8863
0.05,256,20,0.0001,200,ReLU,0.8,0.8805
0.05,256,20,0.0001,200,ReLU,0.5,0.8754
0.05,256,20,0.0001,200,ReLU,1.0,0.8809
0.05,256,20,0.0001,200,Sigmoid,0.8,0.8544
0.05,256,20,0.0001,200,Sigmoid,0.5,0.8525
0.05,256,20,0.0001,200,Sigmoid,1.0,0.8560
0.05,256,20,0.0001,200,Leaky ReLU,0.8,0.8806
0.05,256,20,0.0001,200,Leaky ReLU,0.5,0.8759
0.05,256,20,0.0001,200,Leaky ReLU,1.0,0.8803
0.05,256,20,0.0001,300,ReLU,0.8,0.8782
0.05,256,20,0.0001,300,ReLU,0.5,0.8734
0.05,256,20,0.0001,300,ReLU,1.0,0.8733
0.05,256,20,0.0001,300,Sigmoid,0.8,0.8472
0.05,256,20,0.0001,300,Sigmoid,0.5,0.8434
0.05,256,20,0.0001,300,Sigmoid,1.0,0.8470
0.05,256,20,0.0001,300,Leaky ReLU,0.8,0.8779
0.05,256,20,0.0001,300,Leaky ReLU,0.5,0.8723
0.05,256,20,0.0001,300,Leaky ReLU,1.0,0.8729
0.05,256,20,0.001,100,ReLU,0.8,0.8835
0.05,256,20,0.001,100,ReLU,0.5,0.8779
0.05,256,20,0.001,100,ReLU,1.0,0.8846
0.05,256,20,0.001,100,Sigmoid,0.8,0.8632
0.05,256,20,0.001,100,Sigmoid,0.5,0.8582
0.05,256,20,0.001,100,Sigmoid,1.0,0.8633
0.05,256,20,0.001,100,Leaky ReLU,0.8,0.8821
0.05,256,20,0.001,100,Leaky ReLU,0.5,0.8779
0.05,256,20,0.001,100,Leaky ReLU,1.0,0.8849
0.05,256,20,0.001,200,ReLU,0.8,0.8799
0.05,256,20,0.001,200,ReLU,0.5,0.8753
0.05,256,20,0.001,200,ReLU,1.0,0.8800
0.05,256,20,0.001,200,Sigmoid,0.8,0.8612
0.05,256,20,0.001,200,Sigmoid,0.5,0.8581
0.05,256,20,0.001,200,Sigmoid,1.0,0.8630
0.05,256,20,0.001,200,Leaky ReLU,0.8,0.8823
0.05,256,20,0.001,200,Leaky ReLU,0.5,0.8799
0.05,256,20,0.001,200,Leaky ReLU,1.0,0.8842
0.05,256,20,0.001,300,ReLU,0.8,0.8812
0.05,256,20,0.001,300,ReLU,0.5,0.8785
0.05,256,20,0.001,300,ReLU,1.0,0.8721
0.05,256,20,0.001,300,Sigmoid,0.8,0.8559
0.05,256,20,0.001,300,Sigmoid,0.5,0.8533
0.05,256,20,0.001,300,Sigmoid,1.0,0.8561
0.05,256,20,0.001,300,Leaky ReLU,0.8,0.8812
0.05,256,20,0.001,300,Leaky ReLU,0.5,0.8786
0.05,256,20,0.001,300,Leaky ReLU,1.0,0.8735
0.05,256,20,0.005,100,ReLU,0.8,0.8784
0.05,256,20,0.005,100,ReLU,0.5,0.8741
0.05,256,20,0.005,100,ReLU,1.0,0.8802
0.05,256,20,0.005,100,Sigmoid,0.8,0.8500
0.05,256,20,0.005,100,Sigmoid,0.5,0.8483
0.05,256,20,0.005,100,Sigmoid,1.0,0.8526
0.05,256,20,0.005,100,Leaky ReLU,0.8,0.8786
0.05,256,20,0.005,100,Leaky ReLU,0.5,0.8740
0.05,256,20,0.005,100,Leaky ReLU,1.0,0.8788
0.05,256,20,0.005,200,ReLU,0.8,0.8749
0.05,256,20,0.005,200,ReLU,0.5,0.8705
0.05,256,20,0.005,200,ReLU,1.0,0.8749
0.05,256,20,0.005,200,Sigmoid,0.8,0.8462
0.05,256,20,0.005,200,Sigmoid,0.5,0.8433
0.05,256,20,0.005,200,Sigmoid,1.0,0.8469
0.05,256,20,0.005,200,Leaky ReLU,0.8,0.8761
0.05,256,20,0.005,200,Leaky ReLU,0.5,0.8704
0.05,256,20,0.005,200,Leaky ReLU,1.0,0.8752
0.05,256,20,0.005,300,ReLU,0.8,0.8725
0.05,256,20,0.005,300,ReLU,0.5,0.8689
0.05,256,20,0.005,300,ReLU,1.0,0.8715
0.05,256,20,0.005,300,Sigmoid,0.8,0.8387
0.05,256,20,0.005,300,Sigmoid,0.5,0.8348
0.05,256,20,0.005,300,Sigmoid,1.0,0.8386
0.05,256,20,0.005,300,Leaky ReLU,0.8,0.8767
0.05,256,20,0.005,300,Leaky ReLU,0.5,0.8706
0.05,256,20,0.005,300,Leaky ReLU,1.0,0.8668
0.1,128,10,0.0001,100,ReLU,0.8,0.8814
0.1,128,10,0.0001,100,ReLU,0.5,0.8754
0.1,128,10,0.0001,100,ReLU,1.0,0.8768
0.1,128,10,0.0001,100,Sigmoid,0.8,0.8669
0.1,128,10,0.0001,100,Sigmoid,0.5,0.8623
0.1,128,10,0.0001,100,Sigmoid,1.0,0.8653
0.1,128,10,0.0001,100,Leaky ReLU,0.8,0.8748
0.1,128,10,0.0001,100,Leaky ReLU,0.5,0.8751
0.1,128,10,0.0001,100,Leaky ReLU,1.0,0.8794
0.1,128,10,0.0001,200,ReLU,0.8,0.8744
0.1,128,10,0.0001,200,ReLU,0.5,0.8709
0.1,128,10,0.0001,200,ReLU,1.0,0.8737
0.1,128,10,0.0001,200,Sigmoid,0.8,0.8548
0.1,128,10,0.0001,200,Sigmoid,0.5,0.8492
0.1,128,10,0.0001,200,Sigmoid,1.0,0.8547
0.1,128,10,0.0001,200,Leaky ReLU,0.8,0.8746
0.1,128,10,0.0001,200,Leaky ReLU,0.5,0.8729
0.1,128,10,0.0001,200,Leaky ReLU,1.0,0.8743
0.1,128,10,0.0001,300,ReLU,0.8,0.8702
0.1,128,10,0.0001,300,ReLU,0.5,0.8709
0.1,128,10,0.0001,300,ReLU,1.0,0.8691
0.1,128,10,0.0001,300,Sigmoid,0.8,0.8459
0.1,128,10,0.0001,300,Sigmoid,0.5,0.8399
0.1,128,10,0.0001,300,Sigmoid,1.0,0.8458
0.1,128,10,0.0001,300,Leaky ReLU,0.8,0.8710
0.1,128,10,0.0001,300,Leaky ReLU,0.5,0.8701
0.1,128,10,0.0001,300,Leaky ReLU,1.0,0.8693
0.1,128,10,0.001,100,ReLU,0.8,0.8753
0.1,128,10,0.001,100,ReLU,0.5,0.8751
0.1,128,10,0.001,100,ReLU,1.0,0.8781
0.1,128,10,0.001,100,Sigmoid,0.8,0.8617
0.1,128,10,0.001,100,Sigmoid,0.5,0.8583
0.1,128,10,0.001,100,Sigmoid,1.0,0.8610
0.1,128,10,0.001,100,Leaky ReLU,0.8,0.8718
0.1,128,10,0.001,100,Leaky ReLU,0.5,0.8751
0.1,128,10,0.001,100,Leaky ReLU,1.0,0.8787
0.1,128,10,0.001,200,ReLU,0.8,0.8742
0.1,128,10,0.001,200,ReLU,0.5,0.8715
0.1,128,10,0.001,200,ReLU,1.0,0.8729
0.1,128,10,0.001,200,Sigmoid,0.8,0.8536
0.1,128,10,0.001,200,Sigmoid,0.5,0.8488
0.1,128,10,0.001,200,Sigmoid,1.0,0.8529
0.1,128,10,0.001,200,Leaky ReLU,0.8,0.8743
0.1,128,10,0.001,200,Leaky ReLU,0.5,0.8723
0.1,128,10,0.001,200,Leaky ReLU,1.0,0.8739
0.1,128,10,0.001,300,ReLU,0.8,0.8698
0.1,128,10,0.001,300,ReLU,0.5,0.8699
0.1,128,10,0.001,300,ReLU,1.0,0.8677
0.1,128,10,0.001,300,Sigmoid,0.8,0.8454
0.1,128,10,0.001,300,Sigmoid,0.5,0.8382
0.1,128,10,0.001,300,Sigmoid,1.0,0.8437
0.1,128,10,0.001,300,Leaky ReLU,0.8,0.8702
0.1,128,10,0.001,300,Leaky ReLU,0.5,0.8700
0.1,128,10,0.001,300,Leaky ReLU,1.0,0.8686
0.1,128,10,0.005,100,ReLU,0.8,0.8678
0.1,128,10,0.005,100,ReLU,0.5,0.8690
0.1,128,10,0.005,100,ReLU,1.0,0.8741
0.1,128,10,0.005,100,Sigmoid,0.8,0.8498
0.1,128,10,0.005,100,Sigmoid,0.5,0.8477
0.1,128,10,0.005,100,Sigmoid,1.0,0.8471
0.1,128,10,0.005,100,Leaky ReLU,0.8,0.8684
0.1,128,10,0.005,100,Leaky ReLU,0.5,0.8701
0.1,128,10,0.005,100,Leaky ReLU,1.0,0.8745
0.1,128,10,0.005,200,ReLU,0.8,0.8692
0.1,128,10,0.005,200,ReLU,0.5,0.8679
0.1,128,10,0.005,200,ReLU,1.0,0.8689
0.1,128,10,0.005,200,Sigmoid,0.8,0.8462
0.1,128,10,0.005,200,Sigmoid,0.5,0.8388
0.1,128,10,0.005,200,Sigmoid,1.0,0.8452
0.1,128,10,0.005,200,Leaky ReLU,0.8,0.8691
0.1,128,10,0.005,200,Leaky ReLU,0.5,0.8680
0.1,128,10,0.005,200,Leaky ReLU,1.0,0.8688
0.1,128,10,0.005,300,ReLU,0.8,0.8636
0.1,128,10,0.005,300,ReLU,0.5,0.8646
0.1,128,10,0.005,300,ReLU,1.0,0.8640
0.1,128,10,0.005,300,Sigmoid,0.8,0.8372
0.1,128,10,0.005,300,Sigmoid,0.5,0.8298
0.1,128,10,0.005,300,Sigmoid,1.0,0.8355
0.1,128,10,0.005,300,Leaky ReLU,0.8,0.8639
0.1,128,10,0.005,300,Leaky ReLU,0.5,0.8636
0.1,128,10,0.005,300,Leaky ReLU,1.0,0.8639
0.1,128,20,0.0001,100,ReLU,0.8,0.8778
0.1,128,20,0.0001,100,ReLU,0.5,0.8756
0.1,128,20,0.0001,100,ReLU,1.0,0.8857
0.1,128,20,0.0001,100,Sigmoid,0.8,0.8771
0.1,128,20,0.0001,100,Sigmoid,0.5,0.8684
0.1,128,20,0.0001,100,Sigmoid,1.0,0.8775
0.1,128,20,0.0001,100,Leaky ReLU,0.8,0.8781
0.1,128,20,0.0001,100,Leaky ReLU,0.5,0.8769
0.1,128,20,0.0001,100,Leaky ReLU,1.0,0.8838
0.1,128,20,0.0001,200,ReLU,0.8,0.8819
0.1,128,20,0.0001,200,ReLU,0.5,0.8757
0.1,128,20,0.0001,200,ReLU,1.0,0.8823
0.1,128,20,0.0001,200,Sigmoid,0.8,0.8667
0.1,128,20,0.0001,200,Sigmoid,0.5,0.8613
0.1,128,20,0.0001,200,Sigmoid,1.0,0.8709
0.1,128,20,0.0001,200,Leaky ReLU,0.8,0.8808
0.1,128,20,0.0001,200,Leaky ReLU,0.5,0.8771
0.1,128,20,0.0001,200,Leaky ReLU,1.0,0.8811
0.1,128,20,0.0001,300,ReLU,0.8,0.8807
0.1,128,20,0.0001,300,ReLU,0.5,0.8796
0.1,128,20,0.0001,300,ReLU,1.0,0.8802
0.1,128,20,0.0001,300,Sigmoid,0.8,0.8592
0.1,128,20,0.0001,300,Sigmoid,0.5,0.8546
0.1,128,20,0.0001,300,Sigmoid,1.0,0.8610
0.1,128,20,0.0001,300,Leaky ReLU,0.8,0.8789
0.1,128,20,0.0001,300,Leaky ReLU,0.5,0.8788
0.1,128,20,0.0001,300,Leaky ReLU,1.0,0.8802
0.1,128,20,0.001,100,ReLU,0.8,0.8800
0.1,128,20,0.001,100,ReLU,0.5,0.8775
0.1,128,20,0.001,100,ReLU,1.0,0.8856
0.1,128,20,0.001,100,Sigmoid,0.8,0.8725
0.1,128,20,0.001,100,Sigmoid,0.5,0.8651
0.1,128,20,0.001,100,Sigmoid,1.0,0.8721
0.1,128,20,0.001,100,Leaky ReLU,0.8,0.8813
0.1,128,20,0.001,100,Leaky ReLU,0.5,0.8785
0.1,128,20,0.001,100,Leaky ReLU,1.0,0.8854
0.1,128,20,0.001,200,ReLU,0.8,0.8807
0.1,128,20,0.001,200,ReLU,0.5,0.8764
0.1,128,20,0.001,200,ReLU,1.0,0.8823
0.1,128,20,0.001,200,Sigmoid,0.8,0.8628
0.1,128,20,0.001,200,Sigmoid,0.5,0.8589
0.1,128,20,0.001,200,Sigmoid,1.0,0.8663
0.1,128,20,0.001,200,Leaky ReLU,0.8,0.8821
0.1,128,20,0.001,200,Leaky ReLU,0.5,0.8758
0.1,128,20,0.001,200,Leaky ReLU,1.0,0.8821
0.1,128,20,0.001,300,ReLU,0.8,0.8796
0.1,128,20,0.001,300,ReLU,0.5,0.8783
0.1,128,20,0.001,300,ReLU,1.0,0.8798
0.1,128,20,0.001,300,Sigmoid,0.8,0.8561
0.1,128,20,0.001,300,Sigmoid,0.5,0.8524
0.1,128,20,0.001,300,Sigmoid,1.0,0.8592
0.1,128,20,0.001,300,Leaky ReLU,0.8,0.8791
0.1,128,20,0.001,300,Leaky ReLU,0.5,0.8768
0.1,128,20,0.001,300,Leaky ReLU,1.0,0.8798
0.1,128,20,0.005,100,ReLU,0.8,0.8732
0.1,128,20,0.005,100,ReLU,0.5,0.8707
0.1,128,20,0.005,100,ReLU,1.0,0.8780
0.1,128,20,0.005,100,Sigmoid,0.8,0.8531
0.1,128,20,0.005,100,Sigmoid,0.5,0.8525
0.1,128,20,0.005,100,Sigmoid,1.0,0.8538
0.1,128,20,0.005,100,Leaky ReLU,0.8,0.8758
0.1,128,20,0.005,100,Leaky ReLU,0.5,0.8712
0.1,128,20,0.005,100,Leaky ReLU,1.0,0.8790
0.1,128,20,0.005,200,ReLU,0.8,0.8768
0.1,128,20,0.005,200,ReLU,0.5,0.8739
0.1,128,20,0.005,200,ReLU,1.0,0.8779
0.1,128,20,0.005,200,Sigmoid,0.8,0.8518
0.1,128,20,0.005,200,Sigmoid,0.5,0.8467
0.1,128,20,0.005,200,Sigmoid,1.0,0.8539
0.1,128,20,0.005,200,Leaky ReLU,0.8,0.8771
0.1,128,20,0.005,200,Leaky ReLU,0.5,0.8737
0.1,128,20,0.005,200,Leaky ReLU,1.0,0.8772
0.1,128,20,0.005,300,ReLU,0.8,0.8729
0.1,128,20,0.005,300,ReLU,0.5,0.8445
0.1,128,20,0.005,300,ReLU,1.0,0.8744
0.1,128,20,0.005,300,Sigmoid,0.8,0.8476
0.1,128,20,0.005,300,Sigmoid,0.5,0.8445
0.1,128,20,0.005,300,Sigmoid,1.0,0.8508
0.1,128,20,0.005,300,Leaky ReLU,0.8,0.8728
0.1,128,20,0.005,300,Leaky ReLU,0.5,0.8713
0.1,128,20,0.005,300,Leaky ReLU,1.0,0.8748
0.1,256,10,0.0001,100,ReLU,0.8,0.8819
0.1,256,10,0.0001,100,ReLU,0.5,0.8787
0.1,256,10,0.0001,100,ReLU,1.0,0.8814
0.1,256,10,0.0001,100,Sigmoid,0.8,0.8678
0.1,256,10,0.0001,100,Sigmoid,0.5,0.8634
0.1,256,10,0.0001,100,Sigmoid,1.0,0.8677
0.1,256,10,0.0001,100,Leaky ReLU,0.8,0.8822
0.1,256,10,0.0001,100,Leaky ReLU,0.5,0.8790
0.1,256,10,0.0001,100,Leaky ReLU,1.0,0.8834
0.1,256,10,0.0001,200,ReLU,0.8,0.8778
0.1,256,10,0.0001,200,ReLU,0.5,0.8750
0.1,256,10,0.0001,200,ReLU,1.0,0.8804
0.1,256,10,0.0001,200,Sigmoid,0.8,0.8544
0.1,256,10,0.0001,200,Sigmoid,0.5,0.8516
0.1,256,10,0.0001,200,Sigmoid,1.0,0.8536
0.1,256,10,0.0001,200,Leaky ReLU,0.8,0.8762
0.1,256,10,0.0001,200,Leaky ReLU,0.5,0.8755
0.1,256,10,0.0001,200,Leaky ReLU,1.0,0.8801
0.1,256,10,0.0001,300,ReLU,0.8,0.8731
0.1,256,10,0.0001,300,ReLU,0.5,0.8711
0.1,256,10,0.0001,300,ReLU,1.0,0.8721
0.1,256,10,0.0001,300,Sigmoid,0.8,0.8462
0.1,256,10,0.0001,300,Sigmoid,0.5,0.8409
0.1,256,10,0.0001,300,Sigmoid,1.0,0.8436
0.1,256,10,0.0001,300,Leaky ReLU,0.8,0.8730
0.1,256,10,0.0001,300,Leaky ReLU,0.5,0.8702
0.1,256,10,0.0001,300,Leaky ReLU,1.0,0.8719
0.1,256,10,0.001,100,ReLU,0.8,0.8796
0.1,256,10,0.001,100,ReLU,0.5,0.8782
0.1,256,10,0.001,100,ReLU,1.0,0.8828
0.1,256,10,0.001,100,Sigmoid,0.8,0.8628
0.1,256,10,0.001,100,Sigmoid,0.5,0.8582
0.1,256,10,0.001,100,Sigmoid,1.0,0.8628
0.1,256,10,0.001,100,Leaky ReLU,0.8,0.8812
0.1,256,10,0.001,100,Leaky ReLU,0.5,0.8757
0.1,256,10,0.001,100,Leaky ReLU,1.0,0.8847
0.1,256,10,0.001,200,ReLU,0.8,0.8771
0.1,256,10,0.001,200,ReLU,0.5,0.8740
0.1,256,10,0.001,200,ReLU,1.0,0.8797
0.1,256,10,0.001,200,Sigmoid,0.8,0.8523
0.1,256,10,0.001,200,Sigmoid,0.5,0.8503
0.1,256,10,0.001,200,Sigmoid,1.0,0.8512
0.1,256,10,0.001,200,Leaky ReLU,0.8,0.8765
0.1,256,10,0.001,200,Leaky ReLU,0.5,0.8742
0.1,256,10,0.001,200,Leaky ReLU,1.0,0.8796
0.1,256,10,0.001,300,ReLU,0.8,0.8729
0.1,256,10,0.001,300,ReLU,0.5,0.8690
0.1,256,10,0.001,300,ReLU,1.0,0.8716
0.1,256,10,0.001,300,Sigmoid,0.8,0.8452
0.1,256,10,0.001,300,Sigmoid,0.5,0.8391
0.1,256,10,0.001,300,Sigmoid,1.0,0.8420
0.1,256,10,0.001,300,Leaky ReLU,0.8,0.8724
0.1,256,10,0.001,300,Leaky ReLU,0.5,0.8696
0.1,256,10,0.001,300,Leaky ReLU,1.0,0.8712
0.1,256,10,0.005,100,ReLU,0.8,0.8746
0.1,256,10,0.005,100,ReLU,0.5,0.8675
0.1,256,10,0.005,100,ReLU,1.0,0.8762
0.1,256,10,0.005,100,Sigmoid,0.8,0.8478
0.1,256,10,0.005,100,Sigmoid,0.5,0.8449
0.1,256,10,0.005,100,Sigmoid,1.0,0.8477
0.1,256,10,0.005,100,Leaky ReLU,0.8,0.8751
0.1,256,10,0.005,100,Leaky ReLU,0.5,0.8672
0.1,256,10,0.005,100,Leaky ReLU,1.0,0.8762
0.1,256,10,0.005,200,ReLU,0.8,0.8712
0.1,256,10,0.005,200,ReLU,0.5,0.8686
0.1,256,10,0.005,200,ReLU,1.0,0.8762
0.1,256,10,0.005,200,Sigmoid,0.8,0.8434
0.1,256,10,0.005,200,Sigmoid,0.5,0.8419
0.1,256,10,0.005,200,Sigmoid,1.0,0.8428
0.1,256,10,0.005,200,Leaky ReLU,0.8,0.8715
0.1,256,10,0.005,200,Leaky ReLU,0.5,0.8693
0.1,256,10,0.005,200,Leaky ReLU,1.0,0.8754
0.1,256,10,0.005,300,ReLU,0.8,0.8698
0.1,256,10,0.005,300,ReLU,0.5,0.8644
0.1,256,10,0.005,300,ReLU,1.0,0.8676
0.1,256,10,0.005,300,Sigmoid,0.8,0.8363
0.1,256,10,0.005,300,Sigmoid,0.5,0.8314
0.1,256,10,0.005,300,Sigmoid,1.0,0.8348
0.1,256,10,0.005,300,Leaky ReLU,0.8,0.8691
0.1,256,10,0.005,300,Leaky ReLU,0.5,0.8654
0.1,256,10,0.005,300,Leaky ReLU,1.0,0.8680
0.1,256,20,0.0001,100,ReLU,0.8,0.8845
0.1,256,20,0.0001,100,ReLU,0.5,0.8812
0.1,256,20,0.0001,100,ReLU,1.0,0.8861
0.1,256,20,0.0001,100,Sigmoid,0.8,0.8743
0.1,256,20,0.0001,100,Sigmoid,0.5,0.8681
0.1,256,20,0.0001,100,Sigmoid,1.0,0.8763
0.1,256,20,0.0001,100,Leaky ReLU,0.8,0.8817
0.1,256,20,0.0001,100,Leaky ReLU,0.5,0.8794
0.1,256,20,0.0001,100,Leaky ReLU,1.0,0.8880
0.1,256,20,0.0001,200,ReLU,0.8,0.8832
0.1,256,20,0.0001,200,ReLU,0.5,0.8803
0.1,256,20,0.0001,200,ReLU,1.0,0.8836
0.1,256,20,0.0001,200,Sigmoid,0.8,0.8649
0.1,256,20,0.0001,200,Sigmoid,0.5,0.8630
0.1,256,20,0.0001,200,Sigmoid,1.0,0.8680
0.1,256,20,0.0001,200,Leaky ReLU,0.8,0.8829
0.1,256,20,0.0001,200,Leaky ReLU,0.5,0.8776
0.1,256,20,0.0001,200,Leaky ReLU,1.0,0.8846
0.1,256,20,0.0001,300,ReLU,0.8,0.8818
0.1,256,20,0.0001,300,ReLU,0.5,0.8789
0.1,256,20,0.0001,300,ReLU,1.0,0.8732
